year,month,CAPE,real stock return,real bond return,
1895,12,16.54841515666800000,0.006248643154026070000,0.016333603247740100000,
1896,1,16.57622482856820000,0.060985630324692300000,0.018944944638643600000,
1896,2,17.51540335263730000,-0.012219101123595600000,0.004376494907010420000,
1896,3,17.23236271229860000,0.027577511508094100000,0.019134285080915500000,
1896,4,17.64369937813000000,0.013888800425629900000,0.019341759553313600000,
1896,5,17.82826689423280000,0.000250358804281259000,0.019554595483630900000,
1896,6,17.77757861643050000,-0.061261574074074100000,0.004325300529691930000,
1896,7,16.63710010339460000,-0.053149752475247600000,0.004312504893884130000,
1896,8,15.70337054622690000,0.056485126859142600000,0.004299710444433560000,
1896,9,16.54433994303200000,-0.003962881402407080000,-0.025250748495942000000,
1896,10,16.43886680472590000,0.041340023724917100000,-0.024419246760947800000,
1896,11,17.08942524237110000,-0.033105022831050300000,0.004261334229014540000,
1896,12,16.50140418059010000,0.033070626415957500000,0.033785081463247000000,
1897,1,17.02652128238060000,-0.005924170616113720000,0.003183732659321370000,
1897,2,16.89402588325410000,0.005980861244019310000,0.003180329202354000000,
1897,3,16.95803071672100000,-0.012930039019529300000,0.018150267383092700000,
1897,4,16.69685743473470000,0.023902072370599400000,0.018372376266567700000,
1897,5,17.04775512922940000,0.050245098039215300000,0.003170118943459420000,
1897,6,17.85049728069060000,0.048009367681499000000,0.003166715561183640000,
1897,7,18.65197575582030000,0.021933756305926300000,-0.040452806898672000000,
1897,8,19.00639601051940000,0.021957200618161200000,-0.025097930318016900000,
1897,9,19.37237029339780000,-0.015246195083268400000,0.017487835575201700000,
1897,10,19.02803122390240000,-0.032157676348547700000,0.003153102219012770000,
1897,11,18.35844809805020000,0.024731182795698900000,0.003149698930232200000,
1897,12,18.74875766252550000,0.030556140350877200000,0.003146295660168890000,
1898,1,19.24900002181380000,-0.013019296114626400000,-0.009599913116447590000,
1898,2,18.91813188800210000,-0.042008898015058100000,0.004533542173365430000,
1898,3,18.04217492346870000,-0.013858422939068100000,0.004517910962542170000,
1898,4,17.70508942641180000,-0.001255140746522890000,-0.061583512889279400000,
1898,5,17.59563527451280000,0.115664696364255000000,0.075225288290891000000,
1898,6,19.54481748054800000,0.021497489878745700000,0.018821141127945300000,
1898,7,19.85894301416730000,0.040572506561679800000,0.004455409668607140000,
1898,8,20.54491517915330000,0.001185958254269480000,0.004439790250840180000,
1898,9,20.44273286269130000,-0.017796261089987100000,0.004424173202732810000,
1898,10,19.94719982577370000,0.036218446601941700000,0.004408558527981610000,
1898,11,20.52741632481130000,0.050160073184103900000,-0.009753942123291500000,
1898,12,21.40363198544820000,0.079067846607669500000,0.004377336313369670000,
1899,1,22.93280741648720000,0.012084248369639500000,-0.025230052329265900000,
1899,2,23.04811754998020000,0.016937400950871800000,0.002231617334491620000,
1899,3,23.27968224550870000,0.001429593622607860000,-0.011307904459539900000,
1899,4,23.15242152568650000,-0.039040637860082500000,0.002238701855401310000,
1899,5,22.09126936083420000,-0.032863240835225100000,-0.011121471192559400000,
1899,6,21.21209192504680000,0.023770970896839700000,-0.010942130928026600000,
1899,7,21.56142563452310000,0.014867677524560900000,-0.010766263312579100000,
1899,8,21.72623737305550000,-0.045377894442649300000,-0.035331905312139900000,
1899,9,20.59114051411380000,-0.014305145692695300000,-0.010116525008317700000,
1899,10,20.15371346068660000,0.009217251508668370000,-0.009963171392058160000,
1899,11,20.19645752080230000,-0.076663092107010800000,-0.009812400209993300000,
